functional_ingredient_name,category_main,category_sub,claim_text,source,confidence,notes,categories_json
APIC 대두배아열수추출물등 복합물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Akkermansia muciniphila EB-AMDK19 열처리배양건조물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Akkermansia muciniphila HB05 열처리배양건조물(HB05P),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
B. breve IDCC 4401 열처리배양건조물(BB,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
BT-11원지추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
BT-11원지추출분말(기능성원료인정제2009-12호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
CJ식물성유지 디글리세라이드(DG),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
CMO 함유 FAC(Fatty Acid Complex),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Ca-PGA,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
CaHMB(Calcium β-Hydroxy-β-methylbutyrate),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Dimethylsulfone (MSM),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Dimethylsulfone(MSM),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Enterococcus faecalis FK-23 효소 및 가열처리분말(LFK),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Enterococcus faecalis 가열처리건조분말(기능성원료인정제2008-31호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Enterococcus faecalis 가열처리건조분말(제2008-31호),기타,,꽃가루에 의해 나타나는 코막힘의 개선에 도움,item_class,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
FK-23(Enterococcus faecalis 가열처리 건조분말),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
FloraGLO Lutein(20% liquid in safflower oil),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Green Mate Extract EFLA 920(기능성원료인정제2010-7호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Green Mate Extract EFLA® 920,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
HK표고버섯균사체,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
L-글루타민,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
L-글루타민(기능성원료인정제2008-7호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
L-글루탐산발효 가바분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
L-글루탐산발효 가바분말(기능성원료인정제2022-19호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
L-아르기닌,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
L-아르기닌(기능성원료인정제2015-19호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
L. rhamnosus IDCC 3201 열처리배양건조물(RHT®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
L.plantarum IM76과 B.longum IM55복합물(NVP1703),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Lacticaseibacillus paracasei subsp. paracasei 327(K-1) 열처리배양건조물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Lactobacillus acidophilus YT1,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Lactobacillus gasseri BNR17,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Lactobacillus plantarum Q180,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Lactobacillus sakei Probio65,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Latilactobacillus sakei K040706 열처리배양건조물(노바사케이),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
MR-10 민들레등복합추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
MS-10 엉겅퀴등복합추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
Methyl Slufonyl Methane(MSM),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
same_function_only,기타,,,unknown,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
가시오가피숙지황복합추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
가시오갈피 등 복합추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
가자추출물(AyuFlex®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
감잎주정추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
강황 추출물(터마신),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
강황추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
계피추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
곤약감자추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
곰피추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
구기자나무뿌리껍질추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
구기자추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
