base_product_id,target_product_id,base_product_name,target_product_name,similarity_score,function_similarity_score,core_match_score,shared_ingredients_json,shared_ingredients_raw_json,base_only_ingredients_json,target_only_ingredients_json,shared_categories_json,different_categories_json,substitutability,reason,caution,explanation_json
품목제조번호::200600200033056,품목제조번호::20240028080265,뼈건강 K2 칼마디,뼈건강 K2 칼마디,1.0,1.0,1.0,"[""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""비타민 K"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""]","[""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""비타민 K"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘"", ""히드록시프로필메틸셀룰로오스""]",[],[],"[""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""바나바/난소화성말토덱스트린 계열"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열"", ""혈당""]",[],높음,"비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다.","본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.","{""reason"": ""비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다."", ""shared_ingredients"": [""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""비타민 K"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""], ""base_only_ingredients"": [], ""target_only_ingredients"": [], ""shared_categories"": [""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""바나바/난소화성말토덱스트린 계열"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열"", ""혈당""], ""different_categories"": [], ""substitutability"": ""높음"", ""caution"": ""본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.""}"
품목제조번호::200600200033056,품목제조번호::200400150831970,뼈건강 K2 칼마디,칼마디 엑스퍼트,0.838777,0.902385,0.666667,"[""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""]","[""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘"", ""히드록시프로필메틸셀룰로오스""]","[""비타민 K""]",[],"[""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""바나바/난소화성말토덱스트린 계열"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열"", ""혈당""]",[],높음,"비타민 D, 칼슘, 마그네슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다.","본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.","{""reason"": ""비타민 D, 칼슘, 마그네슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다."", ""shared_ingredients"": [""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""], ""base_only_ingredients"": [""비타민 K""], ""target_only_ingredients"": [], ""shared_categories"": [""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""바나바/난소화성말토덱스트린 계열"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열"", ""혈당""], ""different_categories"": [], ""substitutability"": ""높음"", ""caution"": ""본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.""}"
품목제조번호::200600200033056,품목제조번호::200400150832143,뼈건강 K2 칼마디,뼈·근육엔 칼마디아 플러스4,0.838777,0.902385,0.666667,"[""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""]","[""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘"", ""히드록시프로필메틸셀룰로오스""]","[""비타민 K""]",[],"[""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""바나바/난소화성말토덱스트린 계열"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열"", ""혈당""]",[],높음,"비타민 D, 칼슘, 마그네슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다.","본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.","{""reason"": ""비타민 D, 칼슘, 마그네슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다."", ""shared_ingredients"": [""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""], ""base_only_ingredients"": [""비타민 K""], ""target_only_ingredients"": [], ""shared_categories"": [""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""바나바/난소화성말토덱스트린 계열"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열"", ""혈당""], ""different_categories"": [], ""substitutability"": ""높음"", ""caution"": ""본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.""}"
품목제조번호::200600200033056,품목제조번호::200600200033087,뼈건강 K2 칼마디,닥터박스 뼈건강엔 칼마디K+아연,0.786206,0.876119,1.0,"[""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""]","[""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘"", ""히드록시프로필메틸셀룰로오스""]","[""난소화성말토덱스트린"", ""비타민 C""]","[""망간""]","[""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열""]","[""바나바/난소화성말토덱스트린 계열"", ""혈당""]",높음,"비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다.","본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.","{""reason"": ""비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다."", ""shared_ingredients"": [""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""], ""base_only_ingredients"": [""난소화성말토덱스트린"", ""비타민 C""], ""target_only_ingredients"": [""망간""], ""shared_categories"": [""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열""], ""different_categories"": [""바나바/난소화성말토덱스트린 계열"", ""혈당""], ""substitutability"": ""높음"", ""caution"": ""본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.""}"
품목제조번호::200600200033056,품목제조번호::20240028080408,뼈건강 K2 칼마디,닥터박스 뼈건강엔 칼마디K+아연,0.786206,0.876119,1.0,"[""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""]","[""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘"", ""히드록시프로필메틸셀룰로오스""]","[""난소화성말토덱스트린"", ""비타민 C""]","[""망간""]","[""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열""]","[""바나바/난소화성말토덱스트린 계열"", ""혈당""]",높음,"비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다.","본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.","{""reason"": ""비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다."", ""shared_ingredients"": [""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""], ""base_only_ingredients"": [""난소화성말토덱스트린"", ""비타민 C""], ""target_only_ingredients"": [""망간""], ""shared_categories"": [""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열""], ""different_categories"": [""바나바/난소화성말토덱스트린 계열"", ""혈당""], ""substitutability"": ""높음"", ""caution"": ""본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.""}"
품목제조번호::200600200033056,품목제조번호::20120017002235,뼈건강 K2 칼마디,"뉴메이트 칼슘마그네슘아연비타민D, K",0.781085,0.828793,1.0,"[""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""아연"", ""초록입홍합추출오일"", ""칼슘""]","[""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""아연"", ""초록입홍합추출오일"", ""칼슘"", ""히드록시프로필메틸셀룰로오스""]","[""비타민 C"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)""]",[],"[""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""바나바/난소화성말토덱스트린 계열"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열"", ""혈당""]",[],높음,"비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물 등 관절/연골 관련 원료도 함께 확인됩니다.","본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.","{""reason"": ""비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물 등 관절/연골 관련 원료도 함께 확인됩니다."", ""shared_ingredients"": [""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""아연"", ""초록입홍합추출오일"", ""칼슘""], ""base_only_ingredients"": [""비타민 C"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)""], ""target_only_ingredients"": [], ""shared_categories"": [""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""바나바/난소화성말토덱스트린 계열"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열"", ""혈당""], ""different_categories"": [], ""substitutability"": ""높음"", ""caution"": ""본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.""}"
품목제조번호::200600200033056,품목제조번호::200400150832215,뼈건강 K2 칼마디,장용성 칼마디아 칼슘 마그네슘 비타민D 아연,0.778148,0.710013,0.666667,"[""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""]","[""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘"", ""히드록시프로필메틸셀룰로오스""]","[""난소화성말토덱스트린"", ""비타민 K""]",[],"[""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열""]","[""바나바/난소화성말토덱스트린 계열"", ""혈당""]",높음,"비타민 D, 칼슘, 마그네슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다.","본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.","{""reason"": ""비타민 D, 칼슘, 마그네슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다."", ""shared_ingredients"": [""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""], ""base_only_ingredients"": [""난소화성말토덱스트린"", ""비타민 K""], ""target_only_ingredients"": [], ""shared_categories"": [""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열""], ""different_categories"": [""바나바/난소화성말토덱스트린 계열"", ""혈당""], ""substitutability"": ""높음"", ""caution"": ""본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.""}"
품목제조번호::200600200033056,품목제조번호::200400150831651,뼈건강 K2 칼마디,뼈건강 칼마디케이,0.723724,0.855615,1.0,"[""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""비타민 K"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""]","[""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""비타민 K"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""]","[""히드록시프로필메틸셀룰로오스""]","[""밀전분유래 난소화성말토덱스트린""]","[""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""바나바/난소화성말토덱스트린 계열"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열"", ""혈당""]",[],보통,"비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다.","본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.","{""reason"": ""비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다."", ""shared_ingredients"": [""난소화성말토덱스트린"", ""마그네슘"", ""보스웰리아추출물"", ""비타민 C"", ""비타민 D"", ""비타민 K"", ""아연"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""], ""base_only_ingredients"": [""히드록시프로필메틸셀룰로오스""], ""target_only_ingredients"": [""밀전분유래 난소화성말토덱스트린""], ""shared_categories"": [""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""바나바/난소화성말토덱스트린 계열"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열"", ""혈당""], ""different_categories"": [], ""substitutability"": ""보통"", ""caution"": ""본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.""}"
품목제조번호::200600200033056,품목제조번호::200600200033081,뼈건강 K2 칼마디,뼈로 가는 K2,0.722857,0.715142,1.0,"[""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""]","[""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘"", ""히드록시프로필메틸셀룰로오스""]","[""난소화성말토덱스트린"", ""비타민 C"", ""아연""]","[""NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine)""]","[""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열""]","[""바나바/난소화성말토덱스트린 계열"", ""혈당""]",보통,"비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다.","본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.","{""reason"": ""비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다."", ""shared_ingredients"": [""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""], ""base_only_ingredients"": [""난소화성말토덱스트린"", ""비타민 C"", ""아연""], ""target_only_ingredients"": [""NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine)""], ""shared_categories"": [""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열""], ""different_categories"": [""바나바/난소화성말토덱스트린 계열"", ""혈당""], ""substitutability"": ""보통"", ""caution"": ""본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.""}"
품목제조번호::200600200033056,품목제조번호::20240028080367,뼈건강 K2 칼마디,뼈로 가는 K2,0.722857,0.715142,1.0,"[""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""]","[""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘"", ""히드록시프로필메틸셀룰로오스""]","[""난소화성말토덱스트린"", ""비타민 C"", ""아연""]","[""NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine)""]","[""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열""]","[""바나바/난소화성말토덱스트린 계열"", ""혈당""]",보통,"비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다.","본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.","{""reason"": ""비타민 K, 비타민 D, 칼슘 등이 공통으로 포함되어 뼈 건강 기능성 측면에서 유사합니다. 또한 초록입홍합추출오일, 보스웰리아추출물, 엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰) 등 관절/연골 관련 원료도 함께 확인됩니다."", ""shared_ingredients"": [""마그네슘"", ""보스웰리아추출물"", ""비타민 D"", ""비타민 K"", ""엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"", ""초록입홍합추출오일"", ""칼슘""], ""base_only_ingredients"": [""난소화성말토덱스트린"", ""비타민 C"", ""아연""], ""target_only_ingredients"": [""NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine)""], ""shared_categories"": [""MSM/NAG/보스웰리아 계열"", ""관절/연골"", ""비타민/미네랄 계열"", ""뼈 건강"", ""칼슘/비타민D 계열""], ""different_categories"": [""바나바/난소화성말토덱스트린 계열"", ""혈당""], ""substitutability"": ""보통"", ""caution"": ""본 추천은 건강기능식품의 기능성원료, 표시 기능, 원재료 정보를 기준으로 한 비교 결과입니다. 질병의 예방·치료 효과를 의미하지 않으며, 실제 섭취 전 제품 라벨의 함량, 1일 섭취량, 주의사항을 확인해야 합니다.""}"
